thôn nà cắn|thon na can
thôn nà mảy|thon na may
thôn nà pén|thon na pen
thôn sáu hai|thon sau hai
thôn thẳm ca|thon tham ca
thôn bản còn|thon ban con
thôn cảm lẹng|thon cam leng
thôn khe lắc|thon khe lac
thôn nà đeo|thon na deo
thôn nà ngài|thon na ngai
thôn nà ó|thon na o
thôn bản đén|thon ban den
thôn bản nhuần|thon ban nhuan
thôn con kiến|thon con kien
thôn cửa khe|thon cua khe
thôn đèo vai|thon deo vai
thôn đồng luông|thon dong luong
thôn làng chẽ|thon lang che
thôn làng điền|thon lang dien
thôn nà choọng|thon na choong
thôn nà lằng|thon na lang
thôn bản lù|thon ban lu
thôn khuổi đeng|thon khuoi deng
thôn nà khu|thon na khu
thôn nậm dắt|thon nam dat
thôn pha rạ|thon pha ra
thôn phia đeng|phya đeng|thon phia deng|phya deng
thôn bản áng|thon ban ang
thôn bản chàng|thon ban chang
thôn cốc po|thon coc po
khuổi bốc|khuoi boc
thôn khuổi lót|thon khuoi lot
thôn khuổi nhầu|thon khuoi nhau
thôn khuổi tai|thon khuoi tai
khuổi tràng|khuoi trang
thôn nà ba|thon na ba
thôn nà chiêm|thon na chiem
thôn nà nâm|thon na nam
thôn bản kéo|thon ban keo
thôn bản pải|thon ban pai
thôn bản pén|thon ban pen
thôn khuổi rẹt|thon khuoi ret
thôn thanh mai|thon thanh mai
thôn trung tâm|thon trung tam
thôn bản pia|bản pja|thon ban pia|ban pja
thôn chúa lải|thon chua lai
thôn bản chằng|thon ban chang
thôn bản cháo|thon ban chao
thôn bản rịa|thon ban ria
thôn nậm lín|thon nam lin
thôn phiêng đướng|phjêng đướng|thon phieng duong|phjeng duong
thôn thái lao|thon thai lao
thôn teng|thon teng
thôn tổng cổ|thon tong co
thôn bản mộc|thon ban moc
thôn bản trang|thon ban trang
thôn nà xao|thon na xao
thôn vằng khít|thon vang khit
thôn ca đoỏng|thon ca doong
khu nà tha|khu na tha
khu nà thẳm|khu na tham
thôn nà vả|thon na va
thôn phiêng quân|phjêng quân|thon phieng quan|phjeng quan
thôn pò cạu|thon po cau
thôn pò lải|thon po lai
thôn pò pheo|thon po pheo
thôn pò rản|thon po ran
thôn thôm bả|thon thom ba
thôn khuổi liềng|thon khuoi lieng
thôn khuổi tục|thon khuoi tuc
khu nà đang|khu na dang
thôn nà deng|thon na deng
thôn nà mực|thon na muc
thôn nà ngòa|thon na ngoa
thôn nà piẹt|thon na piet
thôn nà rèng|thon na reng
thôn nà ro|thon na ro
thôn pác ban|thon pac ban
thôn tát sịa|thon tat sia
thôn thôm sinh|thon thom sinh
thôn bản đăm|thon ban dam
thôn bản duồi|thon ban duoi
thôn bản tặc|thon ban tac
thôn nà nặc 2|thon na nac 2
thôn nặm dân|thon nam dan
thôn năm nầu|thon nam nau
thôn kéo đeng|thon keo deng
thôn khau an|thon khau an
thôn khau pần|thon khau pan
thôn khuổi quân|thon khuoi quan
